id x y class
i216 0.1104 0.016512 +
i217 0.103158 0.018957 +
i218 0.106244 0.020305 +
i219 0.109268 0.024615 +
i220 0.109191 0.015779 +
i221 0.10954 0.032193 +
i222 0.105694 0.018519 +
i223 0.100997 0.03653 +
i224 0.114241 0.021108 +
i225 0.107023 0.017149 +
i226 0.106244 0.015779 +
i227 0.092851 0.018018 +
i228 0.154611 0.016529 +
i229 0.149539 0.019254 +
i230 0.11887 0.015857 +
i231 0.132135 0.01741 +
i232 0.119117 0.016546 +
i233 0.116283 0.028319 +
i234 0.161339 0.019925 +
i235 0.142919 0.017738 +
i236 0.118901 0.017486 +
i237 0.136268 0.015764 +
i238 0.149966 0.016194 +
i239 0.145331 0.01592 +
i240 0.133394 0.016667 +
i241 0.149594 0.017877 +
i242 0.164093 0.015686 +
i243 0.140223 0.015889 +
i244 0.115886 0.016771 +
i245 0.126083 0.017505 +
i246 0.099754 0.022695 +
i247 0.184731 0.016842 +
i248 0.167531 0.01686 +
i249 0.130122 0.016427 +
i250 0.183235 0.016327 +
i251 0.169601 0.0193 +
i252 0.14349 0.016546 +
i253 0.15493 0.016293 +
i254 0.125523 0.019536 +
i255 0.144075 0.020915 +
i256 0.18619 0.016097 +
i257 0.034809 0.031873 +
i258 0.03383 0.025765 +
i259 0.036766 0.01564 +
i260 0.048823 0.018497 +
i261 0.023859 0.054983 +
i262 0.021841 0.045326 +
i263 0.031748 0.016546 +
i264 0.035045 0.0193 +
i265 0.027522 0.017877 +
i266 0.036618 0.021828 +
i267 0.104042 0.01889 +
i268 0.11416 0.018059 +
i269 0.108368 0.023599 +
i270 0.107401 0.049231 +
i271 0.108663 0.016461 +
i272 0.116569 0.015857 +
i273 0.110922 0.015952 +
i274 0.104422 0.015795 +
i275 0.103116 0.016842 +
i276 0.119369 0.030246 +
i277 0.12049 0.025 +
i278 0.117126 0.018223 +
i279 0.115333 0.03125 +
i280 0.118575 0.016293 +
i281 0.120473 0.03125 +
i282 0.112358 0.020592 +
i283 0.122578 0.017758 +
i284 0.118969 0.04336 +
i285 0.119404 0.026059 +
i286 0.116377 0.015842 +
i287 0.114402 0.020619 +
i288 0.094706 0.018223 +
i289 0.100789 0.017563 +
i290 0.107968 0.016145 +
i291 0.136663 0.016194 +
i292 0.05004 0.016719 +
i293 0.06758 0.015779 +
i294 0.150543 0.016211 +
i295 0.115678 0.017112 +
i296 0.142966 0.015748 +
i297 0.141531 0.016194 +
i298 0.145166 0.01626 +
i299 0.116283 0.028319 +
i300 0.105826 0.015764 +
i301 0.080337 0.055944 +
i302 0.094307 0.018957 +
i303 0.101949 0.030132 +
i304 0.087642 0.024206 +
i305 0.048162 0.01995 +
i306 0.085039 0.016667 +
i307 0.091356 0.044944 +
i308 0.119335 0.034632 +
i309 0.110029 0.03125 +
i310 0.062272 0.027923 +
i311 0.085415 0.043836 +
i312 0.099967 0.017957 +
i313 0.106705 0.042735 +
i314 0.102246 0.034483 +
i315 0.103346 0.047847 +
i316 0.104267 0.013021 +
i317 0.103063 0.014205 +
i318 0.103136 0.03367 +
i319 0.100825 0.015625 +
i320 0.102785 0.034247 +
i321 0.101508 0.036101 +
i322 0.102209 0.046512 +
i323 0.103431 0.014205 +
i324 0.105797 0.037037 +
i325 0.103587 0.025575 +
i326 0.105026 0.026525 +
i327 0.102788 0.033898 +
i328 0.104453 0.049751 +
i329 0.104168 0.1 +
i330 0.104606 0.019841 +
i331 0.101779 0.084034 +
i332 0.106949 0.05 +
i333 0.104563 0.011161 +
i334 0.106697 0.019531 +
i335 0.107129 0.049751 +
i336 0.107053 0.051546 +
i337 0.105189 0.019531 +
i338 0.104753 0.019531 +
i339 0.105379 0.034247 +
i340 0.103673 0.035088 +
i341 0.102506 0.019531 +
i342 0.102716 0.020161 +
i343 0.103282 0.026042 +
i344 0.103887 0.016639 +
i345 0.106647 0.03268 +
i346 0.103069 0.034014 +
i347 0.105327 0.032051 +
i348 0.104678 0.039063 +
i349 0.101524 0.019531 +
i350 0.103643 0.051546 +
i351 0.101938 0.019531 +
i352 0.103202 0.048544 +
i353 0.10473 0.049751 +
i354 0.108341 0.014205 +
i355 0.106306 0.019531 +
i356 0.113505 0.019254 +
i357 0.113378 0.017003 +
i358 0.116679 0.016478 +
i359 0.116496 0.019254 +
i360 0.115081 0.017917 +
i361 0.114758 0.018868 +
i362 0.113191 0.04507 +
i363 0.16623 0.016227 +
i364 0.12054 0.02735 +
i365 0.131677 0.017563 +
i366 0.160665 0.016667 +
i367 0.127801 0.02122 +
i368 0.156462 0.016667 +
i369 0.143707 0.016277 +
i370 0.150974 0.016563 +
i371 0.117538 0.022956 +
i372 0.115979 0.0401 +
i373 0.111539 0.016615 +
i374 0.112857 0.023426 +
i375 0.116426 0.016563 +
i376 0.110116 0.027972 +
i377 0.119197 0.036782 +
i378 0.108856 0.020434 +
i379 0.115385 0.020101 +
i380 0.113031 0.019704 +
i381 0.100543 0.060606 +
i382 0.121739 0.02406 +
i383 0.118502 0.016377 +
i384 0.096231 0.072398 +
i385 0.110164 0.018779 +
i386 0.105045 0.016824 +
i387 0.143077 0.041885 +
i388 0.116308 0.040712 +
i389 0.123241 0.02329 +
i390 0.117313 0.019208 +
i391 0.110469 0.016048 +
i392 0.101771 0.016615 +
i393 0.114878 0.023392 +
i394 0.11737 0.016967 +
i395 0.095128 0.037123 +
i396 0.106102 0.053872 +
i397 0.104932 0.019778 +
i398 0.105494 0.038005 +
i399 0.100489 0.026578 +
i400 0.110446 0.041995 +
i401 0.125603 0.023188 +
i402 0.10904 0.021277 +
i403 0.103897 0.039702 +
i404 0.110545 0.01995 +
i405 0.118734 0.029197 +
i406 0.118072 0.038278 +
i407 0.115979 0.041344 +
i408 0.100769 0.022409 +
i409 0.109778 0.026101 +
i410 0.123079 0.018713 +
i411 0.098977 0.021305 +
i412 0.098408 0.039409 +
i413 0.093797 0.03252 +
i414 0.113161 0.02213 +
i415 0.106061 0.016048 +
i416 0.105128 0.021108 +
i417 0.106364 0.017544 +
i418 0.103298 0.018626 +
i419 0.108401 0.041026 +
i420 0.113618 0.026273 +
i421 0.124037 0.0199 +
i422 0.115452 0.033613 +
i423 0.116127 0.015968 +
i424 0.107946 0.044077 +
i425 0.121739 0.018161 +
i426 0.103285 0.041237 +
i427 0.110556 0.01837 +
i428 0.106884 0.051948 +
i429 0.112101 0.029466 +
i430 0.103784 0.022663 +
i431 0.118553 0.028777 +
i432 0.115294 0.023704 +
i433 0.111034 0.107383 +
i434 0.119426 0.01636 +
i435 0.106842 0.024768 +
i436 0.154257 0.01854 +
i437 0.112743 0.037383 +
i438 0.108259 0.03912 +
i439 0.112574 0.045198 +
i440 0.094572 0.034934 +
i441 0.123338 0.01608 +
i442 0.117394 0.01837 +
i443 0.098226 0.042895 +
i444 0.125956 0.017917 +
i445 0.101379 0.062745 +
i446 0.113301 0.027875 +
i447 0.114146 0.016048 +
i448 0.100339 0.04 +
i449 0.101303 0.020539 +
i450 0.088732 0.015826 +
i451 0.096923 0.057971 +
i452 0.113878 0.035011 +
i453 0.116837 0.054608 +
i454 0.142878 0.016343 +
i455 0.037366 0.016048 +
i456 0.109598 0.026622 +
i457 0.091977 0.016824 +
i458 0.11187 0.016032 +
i459 0.109652 0.020672 +
i460 0.113401 0.015702 +
i461 0.099022 0.015842 +
i462 0.113005 0.017998 +
i463 0.11642 0.01564 +
i464 0.099036 0.015795 +
i465 0.107566 0.015702 +
i466 0.089123 0.015702 +
i467 0.079762 0.019277 +
i468 0.062357 0.016393 +
i469 0.082985 0.016048 +
i470 0.087022 0.020645 +
i471 0.091832 0.021419 +
i472 0.084777 0.018223 +
i473 0.08545 0.029466 +
i474 0.088405 0.043716 +
i475 0.072438 0.062992 +
i476 0.084826 0.019254 +
i477 0.118794 0.018757 +
i478 0.117667 0.02346 +
i479 0.127743 0.03125 +
i480 0.127291 0.030075 +
i481 0.129761 0.017372 +
i482 0.113068 0.020025 +
i483 0.114682 0.016162 +
i484 0.099816 0.015733 +
i485 0.118937 0.018079 +
i486 0.177788 0.01636 +
i487 0.142567 0.018801 +
i488 0.132768 0.017112 +
i489 0.127298 0.022631 +
i490 0.128468 0.024845 +
i491 0.131996 0.015857 +
i492 0.123783 0.031936 +
i493 0.12173 0.01592 +
i494 0.158676 0.019093 +
i495 0.076188 0.025 +
i496 0.074329 0.05694 +
i497 0.062871 0.025397 +
i498 0.067295 0.017204 +
i499 0.097411 0.024353 +
i500 0.150557 0.017039 +
i501 0.092444 0.020487 +
i502 0.069812 0.0181 +
i503 0.070775 0.020228 +
i504 0.093778 0.016913 +
i505 0.187074 0.015905 +
i506 0.12059 0.018583 +
i507 0.117023 0.017699 +
i508 0.114785 0.016967 +
i509 0.171119 0.017738 +
i510 0.149927 0.039216 +
i511 0.127404 0.018735 +
i512 0.093976 0.021798 +
i513 0.137309 0.01854 +
i514 0.125843 0.01592 +
i515 0.106433 0.030246 +
i516 0.1149 0.017354 +
i517 0.113281 0.026846 +
i518 0.108961 0.016343 +
i519 0.104956 0.015857 +
i520 0.111688 0.01741 +
i521 0.110114 0.021277 +
i522 0.11514 0.015857 +
i523 0.133158 0.01741 +
i524 0.162548 0.016649 +
i525 0.142054 0.022727 +
i526 0.169839 0.015671 +
i527 0.162829 0.017391 +
i528 0.141214 0.018307 +
i529 0.173473 0.025 +
i530 0.100166 0.05 +
i531 0.078596 0.015656 +
i532 0.119451 0.025 +
i533 0.100259 0.019208 +
i534 0.114918 0.01581 +
i535 0.099443 0.02289 +
i536 0.056032 0.015764 +
i537 0.073236 0.017354 +
i538 0.160889 0.015779 +
i539 0.140081 0.015936 +
i540 0.180797 0.017039 +
i541 0.123378 0.015984 +
i542 0.196168 0.017186 +
i543 0.134645 0.015779 +
i544 0.126801 0.016546 +
i545 0.13821 0.015656 +
i546 0.162115 0.016 +
i547 0.138363 0.01626 +
i548 0.127154 0.01564 +
i549 0.130295 0.015748 +
i550 0.105845 0.016113 +
i551 0.114235 0.016667 +
i552 0.117427 0.016427 +
i553 0.114102 0.016129 +
i554 0.134043 0.01956 +
i555 0.1197 0.020539 +
i556 0.116072 0.016598 +
i557 0.107706 0.017448 +
i558 0.148063 0.017316 +
i559 0.124611 0.015671 +
i560 0.117105 0.015842 +
i561 0.11133 0.017448 +
i562 0.12476 0.016343 +
i563 0.127537 0.034483 +
i564 0.115645 0.015889 +
i565 0.117871 0.017094 +
i566 0.131345 0.015842 +
i567 0.104593 0.017957 +
i568 0.104354 0.017877 +
i569 0.121072 0.016129 +
i570 0.149023 0.017003 +
i571 0.175939 0.01768 +
i572 0.145683 0.027539 +
i573 0.177605 0.015717 +
i574 0.134815 0.02852 +
i575 0.158992 0.016 +
i576 0.122783 0.019465 +
i577 0.142247 0.017699 +
i578 0.141757 0.019231 +
i579 0.152596 0.022346 +
i580 0.179369 0.017719 +
i581 0.120686 0.033473 +
i582 0.127056 0.016967 +
i583 0.115617 0.016824 +
i584 0.124273 0.016824 +
i585 0.12304 0.045198 +
i586 0.128874 0.053333 +
i587 0.127065 0.017857 +
i588 0.115507 0.018328 +
i589 0.147884 0.020487 +
i590 0.107096 0.019417 +
i591 0.099364 0.016327 +
i592 0.131863 0.016615 +
i593 0.048941 0.025806 +
i594 0.094747 0.020833 +
i595 0.118494 0.015656 +
i596 0.0974 0.018519 +
i597 0.090664 0.016097 +
i598 0.102676 0.021164 +
i599 0.095019 0.015779 +
i600 0.075932 0.022284 +
i601 0.101835 0.018433 +
i602 0.085846 0.023358 +
i603 0.093402 0.017094 +
i604 0.101034 0.016244 +
i605 0.10376 0.020997 +
i606 0.117438 0.020279 +
i607 0.120037 0.017837 +
i608 0.10737 0.016949 +
i609 0.114201 0.033333 +
i610 0.147541 0.038835 +
i611 0.124238 0.021948 +
i612 0.163987 0.039216 +
i613 0.126349 0.027875 +
i614 0.113582 0.019394 +
i615 0.110968 0.015889 +
i616 0.128201 0.029144 +
i617 0.126526 0.017429 +
i618 0.114662 0.066116 +
i619 0.145478 0.019394 +
i620 0.117403 0.015795 +
i621 0.115969 0.032258 +
i622 0.125622 0.022567 +
i623 0.106834 0.026534 +
i624 0.154241 0.020592 +
i625 0.121871 0.038186 +
i626 0.111008 0.018692 +
i627 0.127321 0.025316 +
i628 0.101728 0.033755 +
i629 0.138265 0.030361 +
i630 0.132957 0.028725 +
i631 0.124686 0.020806 +
i632 0.116969 0.037915 +
i633 0.115895 0.018583 +
i634 0.152575 0.017204 +
i635 0.111762 0.029358 +
i636 0.101065 0.015702 +
i637 0.143275 0.015936 +
i638 0.138168 0.01658 +
i639 0.131114 0.060606 +
i640 0.106087 0.017429 +
i641 0.123483 0.017857 +
i642 0.114191 0.053872 +
i643 0.150218 0.02108 +
i644 0.136824 0.019827 +
i645 0.130505 0.016529 +
i646 0.138043 0.017241 +
i647 0.083224 0.027073 +
i648 0.055106 0.027165 +
i649 0.126082 0.016807 +
i650 0.084208 0.016701 +
i651 0.092141 0.01837 +
i652 0.116222 0.016145 +
i653 0.121182 0.01658 +
i654 0.134568 0.017563 +
i655 0.155784 0.022099 +
i656 0.119428 0.024615 +
i657 0.111525 0.015656 +
i658 0.110636 0.02 +
i659 0.16766 0.023392 +
i660 0.115572 0.024806 +
i661 0.121013 0.021362 +
i662 0.091554 0.01592 +
i663 0.109975 0.017719 +
i664 0.100472 0.016162 +
i665 0.114506 0.016701 +
i666 0.071489 0.030593 +
i667 0.097367 0.024316 +
i668 0.083452 0.016649 +
i669 0.089589 0.016563 +
i670 0.090615 0.019753 +
i671 0.08821 0.017937 +
i672 0.099155 0.040486 +
i673 0.105712 0.03876 +
i674 0.100266 0.040816 +
i675 0.099642 0.06993 +
i676 0.098384 0.04878 +
i677 0.105727 0.019531 +
i678 0.098034 0.050505 +
i679 0.10526 0.089286 +
i680 0.099654 0.039841 +
i681 0.098721 0.042735 +
i682 0.098034 0.020619 +
i683 0.101047 0.023641 +
i684 0.099896 0.073529 +
i685 0.10311 0.036232 +
i686 0.097967 0.022321 +
i687 0.106125 0.038911 +
i688 0.098227 0.040323 +
i689 0.100208 0.089286 +
i690 0.100645 0.034602 +
i691 0.097213 0.046512 +
i692 0.100598 0.024331 +
i693 0.108084 0.011161 +
i694 0.101798 0.04902 +
i695 0.100962 0.028249 +
i696 0.100255 0.024631 +
i697 0.113245 0.01368 +
i698 0.098589 0.039526 +
i699 0.110606 0.050761 +
i700 0.096662 0.037175 +
i701 0.101511 0.045872 +
i702 0.102177 0.04902 +
i703 0.102074 0.02079 +
i704 0.101593 0.053763 +
i705 0.103123 0.017036 +
i706 0.098732 0.090909 +
i707 0.106992 0.020619 +
i708 0.097632 0.056497 +
i709 0.101405 0.035461 +
i710 0.099154 0.035971 +
i711 0.107314 0.046948 +
i712 0.099674 0.084746 +
i713 0.10188 0.012121 +
i714 0.099087 0.08547 +
i715 0.103892 0.045662 +
i716 0.09808 0.088496 +
i717 0.101387 0.075188 +
i718 0.095957 0.021552 +
i719 0.098903 0.091743 +
i720 0.101767 0.020877 +
i721 0.105643 0.040816 +
i722 0.098092 0.048077 +
i723 0.097954 0.038911 +
i724 0.09675 0.027211 +
i725 0.103362 0.016377 +
i726 0.10886 0.026534 +
i727 0.104935 0.017602 +
i728 0.109185 0.021419 +
i729 0.102506 0.023529 +
i730 0.104129 0.015671 +
i731 0.117344 0.027211 +
i732 0.107609 0.017448 +
i733 0.098406 0.017021 +
i734 0.098304 0.022989 +
i735 0.109435 0.018735 +
i736 0.106505 0.018433 +
i737 0.107895 0.034707 +
i738 0.099528 0.018868 +
i739 0.097971 0.016113 +
i740 0.098701 0.015764 +
i741 0.101347 0.018519 +
i742 0.101161 0.016719 +
i743 0.103176 0.015779 +
i744 0.103688 0.016736 +
i745 0.098776 0.020126 +
i746 0.101369 0.016032 +
i747 0.101061 0.017641 +
i748 0.100896 0.024653 +
i749 0.103438 0.018286 +
i750 0.101429 0.01608 +
i751 0.097365 0.017505 +
i752 0.101524 0.015842 +
i753 0.101687 0.026891 +
i754 0.099964 0.029412 +
i755 0.105976 0.015748 +
i756 0.108517 0.018141 +
i757 0.104689 0.026981 +
i758 0.096986 0.017241 +
i759 0.103713 0.016913 +
i760 0.104683 0.018846 +
i761 0.101818 0.035874 +
i762 0.108712 0.022284 +
i763 0.108581 0.018801 +
i764 0.10554 0.018605 +
i765 0.099226 0.016377 +
i766 0.096287 0.016754 +
i767 0.100017 0.018349 +
i768 0.100853 0.017448 +
i769 0.099823 0.023634 +
i770 0.103433 0.01898 +
i771 0.107032 0.016113 +
i772 0.099115 0.017957 +
i773 0.102551 0.020177 +
i774 0.106222 0.016129 +
i775 0.110943 0.077295 +
i776 0.103806 0.020806 +
i777 0.108727 0.016736 +
i778 0.109777 0.015984 +
i779 0.102229 0.016343 +
i780 0.097454 0.018433 +
i781 0.102 0.016754 +
i782 0.097661 0.038835 +
i783 0.117097 0.016615 +
i784 0.1018 0.015748 +
i785 0.095435 0.04611 +
i786 0.105033 0.022346 +
i787 0.103983 0.017719 +
i788 0.099514 0.017857 +
i789 0.106337 0.018161 +
i790 0.101535 0.019925 +
i791 0.098083 0.016495 +
i792 0.100669 0.019925 +
i793 0.099671 0.016495 +
i794 0.101243 0.016789 +
i795 0.113366 0.023529 +
i796 0.108438 0.015842 +
i797 0.096459 0.017467 +
i798 0.113497 0.01626 +
i799 0.105 0.026846 +
i800 0.106372 0.01837 +
i801 0.106693 0.022727 +
i802 0.095379 0.018412 +
i803 0.104681 0.030888 +
i804 0.095702 0.017877 +
i805 0.108101 0.015717 +
i806 0.099365 0.015952 +
i807 0.105415 0.017798 +
i808 0.071579 0.047013 +
i809 0.092331 0.051064 +
i810 0.082605 0.047572 +
i811 0.10736 0.047198 +
i812 0.105701 0.047572 +
i813 0.076194 0.047105 +
i814 0.102366 0.04913 +
i815 0.096344 0.047384 +
i816 0.101211 0.047013 +
i817 0.083509 0.047666 +
i818 0.102215 0.046921 +
i819 0.079671 0.047013 +
i820 0.119846 0.047431 +
i821 0.110436 0.046967 +
i822 0.09069 0.047105 +
i823 0.09694 0.047666 +
i824 0.067765 0.046967 +
i825 0.096133 0.047151 +
i826 0.077552 0.047761 +
i827 0.086459 0.047337 +
i828 0.095495 0.047198 +
i829 0.087297 0.048096 +
i830 0.113501 0.047013 +
i831 0.099209 0.050686 +
i832 0.088554 0.047244 +
i833 0.108808 0.047105 +
i834 0.110538 0.047059 +
i835 0.082113 0.047105 +
i836 0.102421 0.047856 +
i837 0.114052 0.04829 +
i838 0.084113 0.047291 +
i839 0.104712 0.047384 +
i840 0.068174 0.049332 +
i841 0.104342 0.046967 +
i842 0.111634 0.047478 +
i843 0.087774 0.046921 +
i844 0.102779 0.05058 +
i845 0.099524 0.046921 +
i846 0.089042 0.048 +
i847 0.108556 0.048534 +
i848 0.101776 0.046921 +
i849 0.101124 0.050686 +
i850 0.099454 0.047525 +
i851 0.101776 0.047244 +
i852 0.105933 0.047059 +
i853 0.109686 0.047384 +
i854 0.102603 0.046921 +
i855 0.093333 0.047431 +
i856 0.062609 0.046967 +
i857 0.105455 0.047059 +
i858 0.094274 0.049383 +
i859 0.098391 0.046921 +
i860 0.080348 0.047431 +
i861 0.112598 0.048096 +
i862 0.092081 0.046967 +
i863 0.091073 0.046921 +
i864 0.096684 0.047013 +
i865 0.085525 0.053751 +
i866 0.106105 0.047337 +
i867 0.080835 0.049948 +
i868 0.120177 0.026059 +
i869 0.094 0.023952 +
i870 0.113505 0.039409 +
i871 0.120235 0.047478 +
i872 0.104625 0.046921 +
i873 0.124962 0.048144 +
i874 0.113054 0.047761 +
i875 0.112089 0.050052 +
i876 0.114309 0.046967 +
i877 0.11799 0.047291 +
i878 0.110847 0.052863 +
i879 0.107134 0.047384 +
i880 0.113105 0.04918 +
i881 0.114192 0.04888 +
i882 0.117015 0.047809 +
i883 0.116115 0.046967 +
i884 0.109303 0.049896 +
i885 0.106589 0.04918 +
i886 0.111924 0.047952 +
i887 0.110303 0.047244 +
i888 0.11795 0.047809 +
i889 0.105845 0.048193 +
i890 0.125543 0.046921 +
i891 0.117218 0.047384 +
i892 0.114021 0.050955 +
i893 0.095877 0.048193 +
i894 0.109356 0.048485 +
i895 0.111793 0.048048 +
i896 0.119055 0.050104 +
i897 0.11828 0.048048 +
i898 0.108784 0.046921 +
i899 0.121627 0.049434 +
i900 0.103133 0.047761 +
i901 0.124698 0.047619 +
i902 0.121288 0.046967 +
i903 0.116086 0.047151 +
i904 0.116667 0.052805 +
i905 0.110687 0.048436 +
i906 0.121268 0.047384 +
i907 0.120775 0.047198 +
i908 0.114959 0.048193 +
i909 0.094062 0.047105 +
i910 0.129348 0.052174 +
i911 0.110991 0.047761 +
i912 0.108625 0.048731 +
i913 0.116838 0.057007 +
i914 0.108141 0.05074 +
i915 0.114646 0.048193 +
i916 0.113623 0.053631 +
i917 0.095373 0.047572 +
i918 0.114834 0.047013 +
i919 0.11739 0.047337 +
i920 0.116865 0.050104 +
i921 0.112079 0.047105 +
i922 0.111288 0.049485 +
i923 0.120556 0.047059 +
i924 0.105869 0.047714 +
i925 0.108025 0.048682 +
i926 0.102281 0.048583 +
i927 0.10993 0.047431 +
i928 0.119671 0.04878 +
i929 0.106133 0.048193 +
i930 0.116956 0.047198 +
i931 0.128963 0.047105 +
i932 0.106715 0.047013 +
i933 0.115829 0.047105 +
i934 0.120066 0.047105 +
